dataset,fixture_id,content_hash,source_row_hash,split,lineage,truncated
gsm8k,gsm8k_test_000000_12c0b583,12c0b58340b78b51409575029fe9c96f85e615c9dcb3d2a28755e626f5d916cc,d975fa1ff1b1742a786bd2d002ab394f2a743f185353bc51eebf03bad875cbe6,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 0}",False
gsm8k,gsm8k_test_000001_183930a6,183930a68792719f6df193e82bf32d2bb9609a1d0f83abf3c1a648c960ab56a9,a1433f0a901dce9036a87b6dc3a421fe335764bd136b82155fdbe7fd54febfa7,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 1}",False
gsm8k,gsm8k_test_000002_838a7b6e,838a7b6eb75cb407ac15324628f2662ba5ca1a139bb5624510f4f5133fc32dbb,2d5ad16672166414eb2da5a396a9832d77e6ec7d8adfffb8004887174c759f2e,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 2}",False
gsm8k,gsm8k_test_000003_a6e8be50,a6e8be50210eda31ce06bb60110227a669a18e90e5b276003453b8cad2e65b8b,9a239b08df60c5a66733c2c7d3633a8005bed9602afb70cd5b024f988a86a64b,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 3}",False
gsm8k,gsm8k_test_000004_2382a957,2382a9574c5b05c511331795e0e53af59114c9c96f3bdd97639a338fa717c3d4,e0aa4f2259a6d83b1a5cd6f3b1b92c676849cb94ad3d01498816f96b31313c16,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 4}",False
gsm8k,gsm8k_test_000005_b54db050,b54db05088857ee07105c93ebe6127096eee22c8365f795f5eac851c7dc98dbc,465c73684cc6ae028c1c2b77a676e632612825542d6a5c7e0fb8e80d5e23f478,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 5}",False
gsm8k,gsm8k_test_000006_f8601ce7,f8601ce74f906240bb471960ee5a29cd15564df4582cb2b9f7f6c01a73324c43,cae6335f8c2d068bffc757827ccacff12abe9c15abb1088c57bd74ca3a82ee35,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 6}",False
gsm8k,gsm8k_test_000007_ebe5532d,ebe5532df41fc074f283d8e69e052a7659bc1482c9cfc7bc505f57aa6140534e,be86534386cccbf99a6d968f3ca70c7b8a7228d4dccaea7dadfa7d3cc60ca59d,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 7}",False
gsm8k,gsm8k_test_000008_a18e44a5,a18e44a57515bd8ed0b8db6aa8095f81523d9ecabc7150e93247fea9c3276664,f8dc1932551dd8266587e4a8f3f9cb84465c9b05eca2b76788c6582a9ecd21fa,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 8}",False
gsm8k,gsm8k_test_000009_1e39b726,1e39b7266539f867d9a0bcf214197ceced645764fc062da67404193abb830817,24f37b08c35c81aeacbe7ad56a0e6dd0e478b98872bf854975fdd45d57fd5d46,test,"{'source_identity': 'openai/gsm8k:test', 'source_revision': 'd638c3496131ba6bae0f2c6e89676e37fee7155a', 'source_raw_sha256': '3730d312f6e3440559ace48831e51066acaca737f6eabec99bccb9e4b3c39d14', 'upstream_row_index': 9}",False
