dataset,fixture_id,verification_calls,acceptance_lengths,tau,draft_acceptance_rate,rollback_tokens
gsm8k,gsm8k_test_000000_12c0b583,7,2 1 1 1 1 1 2,1.2857142857142858,0.01904761904761905,103
gsm8k,gsm8k_test_000001_183930a6,6,2 2 1 1 1 2,1.5,0.03333333333333333,87
gsm8k,gsm8k_test_000002_838a7b6e,6,3 1 1 1 1 3,1.6666666666666667,0.044444444444444446,86
gsm8k,gsm8k_test_000003_a6e8be50,6,2 1 1 1 1 3,1.5,0.03333333333333333,87
gsm8k,gsm8k_test_000004_2382a957,7,2 1 1 1 1 1 1,1.1428571428571428,0.009523809523809525,104
gsm8k,gsm8k_test_000005_b54db050,4,2 2 3 3,2.5,0.1,54
gsm8k,gsm8k_test_000006_f8601ce7,7,1 1 2 1 1 1 1,1.1428571428571428,0.009523809523809525,104
gsm8k,gsm8k_test_000007_ebe5532d,5,2 2 1 1 3,1.8,0.05333333333333334,71
gsm8k,gsm8k_test_000008_a18e44a5,6,2 1 1 1 2 3,1.6666666666666667,0.044444444444444446,86
gsm8k,gsm8k_test_000009_1e39b726,5,2 2 2 1 1,1.6,0.04,72
qmsum,qmsum_test_meeting0000_specific_00_24bd89de,6,1 1 1 1 1 4,1.5,0.03333333333333333,87
qmsum,qmsum_test_meeting0000_specific_01_1b6f4c97,7,1 1 1 2 1 1 2,1.2857142857142858,0.01904761904761905,103
qmsum,qmsum_test_meeting0000_specific_02_86570dc2,7,1 1 1 1 2 1 3,1.4285714285714286,0.02857142857142857,102
qmsum,qmsum_test_meeting0000_specific_03_65958b7c,7,1 1 1 2 1 1 3,1.4285714285714286,0.02857142857142857,102
qmsum,qmsum_test_meeting0000_specific_04_d876a539,5,1 2 2 1 2,1.6,0.04,72
qmsum,qmsum_test_meeting0000_specific_05_4b169ecb,5,1 1 3 2 2,1.8,0.05333333333333334,71
qmsum,qmsum_test_meeting0000_specific_06_8cdb8b6e,7,1 1 1 2 1 1 6,1.8571428571428572,0.05714285714285714,99
qmsum,qmsum_test_meeting0000_specific_07_370640be,6,1 1 1 1 2 4,1.6666666666666667,0.044444444444444446,86
qmsum,qmsum_test_meeting0000_specific_08_8242aef6,4,1 4 2 2,2.25,0.08333333333333333,55
qmsum,qmsum_test_meeting0000_specific_09_8d3ad62d,6,1 1 1 1 1 4,1.5,0.03333333333333333,87
