dataset,fixture_id,segment_original_tokens,segment_compressed_tokens,segment_reduction_pct,full_prompt_reduction_pct,chunk_count,bypassed,compression_total_ms
gsm8k,gsm8k_test_000000_12c0b583,3,3,0.0,0.0,1,True,0.013395001587923616
gsm8k,gsm8k_test_000001_183930a6,3,3,0.0,0.0,1,True,0.012599994079209864
gsm8k,gsm8k_test_000002_838a7b6e,3,3,0.0,0.0,1,True,0.011418000212870538
gsm8k,gsm8k_test_000003_a6e8be50,3,3,0.0,0.0,1,True,0.008352995791938156
gsm8k,gsm8k_test_000004_2382a957,3,3,0.0,0.0,1,True,0.010105999535880983
gsm8k,gsm8k_test_000005_b54db050,3,3,0.0,0.0,1,True,0.008267001248896122
gsm8k,gsm8k_test_000006_f8601ce7,3,3,0.0,0.0,1,True,0.008892995538190007
gsm8k,gsm8k_test_000007_ebe5532d,3,3,0.0,0.0,1,True,0.008795999747235328
gsm8k,gsm8k_test_000008_a18e44a5,3,3,0.0,0.0,1,True,0.008994997187983245
gsm8k,gsm8k_test_000009_1e39b726,3,3,0.0,0.0,1,True,0.010568001016508788
gsm8k,gsm8k_test_000010_59dc846d,3,3,0.0,0.0,1,True,0.009208997653331608
gsm8k,gsm8k_test_000011_b70bab4a,3,3,0.0,0.0,1,True,0.009941002645064145
gsm8k,gsm8k_test_000012_21d66dd1,3,3,0.0,0.0,1,True,0.007814000127837062
gsm8k,gsm8k_test_000013_bde0971b,3,3,0.0,0.0,1,True,0.009951996617019176
gsm8k,gsm8k_test_000014_fc6f69e1,3,3,0.0,0.0,1,True,0.008620001608505845
gsm8k,gsm8k_test_000015_746c1f0c,3,3,0.0,0.0,1,True,0.011509997420944273
gsm8k,gsm8k_test_000016_d4181f2f,3,3,0.0,0.0,1,True,0.009704999683890492
gsm8k,gsm8k_test_000017_04aa2556,3,3,0.0,0.0,1,True,0.01021000207401812
gsm8k,gsm8k_test_000018_d7ded01e,3,3,0.0,0.0,1,True,0.009643001249060035
gsm8k,gsm8k_test_000019_8beea970,3,3,0.0,0.0,1,True,0.011050004104617983
gsm8k,gsm8k_test_000020_14cc1000,3,3,0.0,0.0,1,True,0.008466995495837182
gsm8k,gsm8k_test_000021_4731f93b,3,3,0.0,0.0,1,True,0.00916299904929474
gsm8k,gsm8k_test_000022_d280a9ea,3,3,0.0,0.0,1,True,0.009727002179715782
gsm8k,gsm8k_test_000023_03349c30,3,3,0.0,0.0,1,True,0.009920004231389612
gsm8k,gsm8k_test_000024_f58bbedc,3,3,0.0,0.0,1,True,0.008590002835262567
gsm8k,gsm8k_test_000025_ec6edeab,3,3,0.0,0.0,1,True,0.00881099549587816
gsm8k,gsm8k_test_000026_41d35568,3,3,0.0,0.0,1,True,0.030715003958903253
gsm8k,gsm8k_test_000027_6a4f3624,3,3,0.0,0.0,1,True,0.008552000508643687
gsm8k,gsm8k_test_000028_3dd1dbbb,3,3,0.0,0.0,1,True,0.01051099388860166
gsm8k,gsm8k_test_000029_e10497e5,3,3,0.0,0.0,1,True,0.008895003702491522
qmsum,qmsum_test_meeting0000_specific_00_24bd89de,1975,908,54.025316455696206,52.3685580426861,9,False,2871.1599960006424
qmsum,qmsum_test_meeting0000_specific_01_1b6f4c97,1975,908,54.025316455696206,52.20550077841204,9,False,2751.308216000325
qmsum,qmsum_test_meeting0000_specific_02_86570dc2,1975,908,54.025316455696206,52.25974025974026,9,False,2568.683149998833
qmsum,qmsum_test_meeting0000_specific_03_65958b7c,1975,908,54.025316455696206,52.25974025974026,9,False,2578.1892250015517
qmsum,qmsum_test_meeting0000_specific_04_d876a539,1975,908,54.025316455696206,51.96280991735538,9,False,2813.9084779977566
qmsum,qmsum_test_meeting0000_specific_05_4b169ecb,1975,908,54.025316455696206,52.0434557682359,9,False,2702.0615980000002
qmsum,qmsum_test_meeting0000_specific_06_8cdb8b6e,1975,908,54.025316455696206,52.3685580426861,9,False,2599.0879780001706
qmsum,qmsum_test_meeting0000_specific_07_370640be,1975,908,54.025316455696206,52.25974025974026,9,False,2582.3071300037554
qmsum,qmsum_test_meeting0000_specific_08_8242aef6,1975,908,54.025316455696206,52.28690228690229,9,False,2592.4190689984243
qmsum,qmsum_test_meeting0000_specific_09_8d3ad62d,1975,908,54.025316455696206,52.45046923879041,9,False,2591.174344001047
qmsum,qmsum_test_meeting0000_specific_10_92ae6f78,1975,908,54.025316455696206,52.3685580426861,9,False,2787.994749000063
qmsum,qmsum_test_meeting0000_specific_11_acba5d5c,1975,908,54.025316455696206,52.314092563702545,9,False,2570.2576830008184
qmsum,qmsum_test_meeting0001_specific_00_a2343587,2659,1218,54.193305754042875,53.8707102952913,10,False,2962.7158970033634
qmsum,qmsum_test_meeting0001_specific_01_0e55d871,2659,1218,54.193305754042875,53.69928400954653,10,False,3165.455299000314
qmsum,qmsum_test_meeting0001_specific_02_a5bedb8b,2659,1218,54.193305754042875,53.69928400954653,10,False,3006.9641820009565
qmsum,qmsum_test_meeting0001_specific_03_4b7e9938,2659,1218,54.193305754042875,53.8707102952913,10,False,3098.567307999474
qmsum,qmsum_test_meeting0001_specific_04_b3828ce3,2659,1218,54.193305754042875,53.8707102952913,10,False,2922.860184997262
qmsum,qmsum_test_meeting0001_specific_05_4603d5b5,2659,1218,54.193305754042875,53.8707102952913,10,False,3063.61714599916
qmsum,qmsum_test_meeting0002_specific_00_4389fd52,1922,910,52.653485952133195,52.44755244755245,9,False,2784.0063339972403
qmsum,qmsum_test_meeting0002_specific_01_a568c3d3,1922,910,52.653485952133195,52.47578040904198,9,False,2617.633791996923
qmsum,qmsum_test_meeting0002_specific_02_719df5ca,1922,910,52.653485952133195,52.41935483870967,9,False,2640.8019169975887
qmsum,qmsum_test_meeting0002_specific_03_ed58ebe8,1922,910,52.653485952133195,52.33494363929147,9,False,2578.4461880029994
qmsum,qmsum_test_meeting0003_specific_00_7b6db32b,2028,953,53.00788954635108,53.701825557809336,9,False,2770.8367689992883
qmsum,qmsum_test_meeting0003_specific_01_d12053b5,2028,953,53.00788954635108,53.701825557809336,9,False,2789.08068400051
qmsum,qmsum_test_meeting0003_specific_02_d6f8eac6,2028,953,53.00788954635108,53.701825557809336,9,False,2639.6507320023375
qmsum,qmsum_test_meeting0003_specific_03_f6aafcd8,2028,953,53.00788954635108,53.701825557809336,9,False,2608.389351000369
qmsum,qmsum_test_meeting0003_specific_04_c8cbb094,2028,953,53.00788954635108,53.620253164556964,9,False,2607.4137980031082
qmsum,qmsum_test_meeting0003_specific_05_506a85ec,2028,953,53.00788954635108,53.64741641337386,9,False,2602.4834600029862
qmsum,qmsum_test_meeting0004_specific_00_bc14e4f2,2228,1080,51.526032315978455,51.994368840919755,10,False,2899.4389930012403
qmsum,qmsum_test_meeting0004_specific_01_6e128e20,2228,1080,51.526032315978455,51.94561650257853,10,False,3308.029103995068
