dataset,condition,fixture_id,verification_calls,tau,draft_acceptance_rate,rollback_tokens
gsm8k,dflash-r1,gsm8k_test_000000_12c0b583,5,3.4,0.16,63
gsm8k,dflash-r1,gsm8k_test_000001_183930a6,6,2.1666666666666665,0.07777777777777778,83
gsm8k,dflash-r1,gsm8k_test_000002_838a7b6e,5,1.8,0.05333333333333334,71
gsm8k,dflash-r1,gsm8k_test_000003_a6e8be50,4,2.25,0.08333333333333333,55
gsm8k,dflash-r1,gsm8k_test_000004_2382a957,4,2.5,0.1,54
gsm8k,dflash-r1,gsm8k_test_000005_b54db050,4,2.5,0.1,54
gsm8k,dflash-r1,gsm8k_test_000006_f8601ce7,6,1.3333333333333333,0.022222222222222223,88
gsm8k,dflash-r1,gsm8k_test_000007_ebe5532d,5,1.6,0.04,72
gsm8k,dflash-r1,gsm8k_test_000008_a18e44a5,5,2.0,0.06666666666666667,70
gsm8k,dflash-r1,gsm8k_test_000009_1e39b726,5,2.0,0.06666666666666667,70
gsm8k,dflash-r1,gsm8k_test_000010_59dc846d,5,1.8,0.05333333333333334,71
gsm8k,dflash-r1,gsm8k_test_000011_b70bab4a,4,2.75,0.11666666666666667,53
gsm8k,dflash-r1,gsm8k_test_000012_21d66dd1,4,2.5,0.1,54
gsm8k,dflash-r1,gsm8k_test_000013_bde0971b,6,1.5,0.03333333333333333,87
gsm8k,dflash-r1,gsm8k_test_000014_fc6f69e1,5,1.6,0.04,72
gsm8k,dflash-r1,gsm8k_test_000015_746c1f0c,5,2.4,0.09333333333333334,68
gsm8k,dflash-r1,gsm8k_test_000016_d4181f2f,5,1.6,0.04,72
gsm8k,dflash-r1,gsm8k_test_000017_04aa2556,4,3.0,0.13333333333333333,52
gsm8k,dflash-r1,gsm8k_test_000018_d7ded01e,4,2.25,0.08333333333333333,55
gsm8k,dflash-r1,gsm8k_test_000019_8beea970,3,3.3333333333333335,0.15555555555555556,38
gsm8k,dflash-r1,gsm8k_test_000020_14cc1000,4,2.75,0.11666666666666667,53
gsm8k,dflash-r1,gsm8k_test_000021_4731f93b,7,1.2857142857142858,0.01904761904761905,103
gsm8k,dflash-r1,gsm8k_test_000022_d280a9ea,6,1.3333333333333333,0.022222222222222223,88
gsm8k,dflash-r1,gsm8k_test_000023_03349c30,4,2.25,0.08333333333333333,55
gsm8k,dflash-r1,gsm8k_test_000024_f58bbedc,4,2.25,0.08333333333333333,55
gsm8k,dflash-r1,gsm8k_test_000025_ec6edeab,6,2.1666666666666665,0.07777777777777778,83
gsm8k,dflash-r1,gsm8k_test_000026_41d35568,4,3.0,0.13333333333333333,52
gsm8k,dflash-r1,gsm8k_test_000027_6a4f3624,4,2.0,0.06666666666666667,56
gsm8k,dflash-r1,gsm8k_test_000028_3dd1dbbb,4,2.25,0.08333333333333333,55
gsm8k,dflash-r1,gsm8k_test_000029_e10497e5,4,2.5,0.1,54
gsm8k,cc-dflash-r2,gsm8k_test_000000_12c0b583,5,3.4,0.16,63
gsm8k,cc-dflash-r2,gsm8k_test_000001_183930a6,6,2.1666666666666665,0.07777777777777778,83
gsm8k,cc-dflash-r2,gsm8k_test_000002_838a7b6e,5,1.8,0.05333333333333334,71
gsm8k,cc-dflash-r2,gsm8k_test_000003_a6e8be50,4,2.25,0.08333333333333333,55
gsm8k,cc-dflash-r2,gsm8k_test_000004_2382a957,4,2.5,0.1,54
gsm8k,cc-dflash-r2,gsm8k_test_000005_b54db050,4,2.5,0.1,54
gsm8k,cc-dflash-r2,gsm8k_test_000006_f8601ce7,6,1.3333333333333333,0.022222222222222223,88
