metric,avg,min,max,p95
t_compress_ms,125.263221,97.241485,236.318902,153.605866
e2e_time_s,5.003203,1.248316,7.438285,6.96693
tokens_per_second,21.3377,17.623737,26.671838,25.285012
tau_mean,2.157238,1.716667,2.793103,2.589744
t_prefill_ms,363.826869,333.457338,455.878806,383.131349
R_actual,2.192619,2.133011,2.251326,2.245495
vram_allocated_gib,4.162704,4.162703,4.162705,4.162705
vram_reserved_gib,5.341732,4.794922,5.414062,5.414062
output_token_count,106.8,22.0,164.0,158.0
reference_unigram_recall,0.211347,0.0,0.555556,0.533333
