metric,before,fixed,delta
strict_correct_count,79,88,9
cap_limited_incomplete_count,15,2,-13
strict_wrong_numeric_count,6,10,4
answer_missing_count,0,0,0
final_answer_marker_count,85,98,13
avg_e2e_time_s,2.896622,2.145689,-0.750933
avg_generation_time_s,2.879373,2.128231,-0.751142
avg_tokens_per_second,59.089889,52.231247,-6.858642
avg_t_compress_ms,17.249677,17.45762,0.207943
avg_R_actual,2.0,2.0,0.0
avg_output_tokens,168.01,110.5,-57.51
max_vram_reserved_gib,4.431641,4.439453,0.007812
