metric,t105a_optimized,t106b_concise_final_answer,t107b_minimal_arithmetic_verify,t109_numeric_detail_preserve,delta_t109_minus_t106b
strict_correct_count,79,88,85,82,-6
cap_limited_incomplete_count,15,2,2,8,6
strict_wrong_numeric_count,6,10,13,10,0
answer_missing_count,0,0,0,0,0
final_answer_marker_count,85,98,98,92,-6
avg_e2e_time_s,2.896622,2.145689,1.910664,2.612394,0.466705
avg_generation_time_s,2.879373,2.128231,1.893568,2.596404,0.468173
avg_tokens_per_second,59.089889,52.231247,53.47015,61.674925,9.443678
avg_t_compress_ms,17.249677,17.45762,17.095514,15.990476,-1.467144
avg_R_actual,2.0,2.0,2.0,2.0,0.0
avg_output_tokens,168.01,110.5,102.61,159.36,48.86
max_vram_reserved_gib,4.431641,4.439453,4.431641,4.554688,0.115235
